AutoCtr,Order,OtherOrders,CommonAncestor
1379,Lamniformes,Rajiformes,281
1380,Lamniformes,Torpediniformes,281
1381,Lamniformes,Rhinopristiformes,281
1382,Lamniformes,Myliobatiformes,281
1383,Lamniformes,Chimaeriformes,420
1384,Lamniformes,Polypteriformes,457
1385,Lamniformes,Acipenseriformes,457
1386,Lamniformes,Amiiformes,457
1387,Lamniformes,Lepisosteiformes,457
1388,Lamniformes,Elopiformes,457
1389,Lamniformes,Albuliformes,457
1390,Lamniformes,Notacanthiformes,457
1391,Lamniformes,Anguilliformes,457
1392,Lamniformes,Saccopharyngiformes,457
1393,Lamniformes,Hiodontiformes,457
1394,Lamniformes,Osteoglossiformes,457
1395,Lamniformes,Clupeiformes,457
1396,Lamniformes,Alepocephaliformes,457
1397,Lamniformes,Gonorynchiformes,457
1398,Lamniformes,Cypriniformes,457
1399,Lamniformes,Characiformes,457
1400,Lamniformes,Gymnotiformes,457
1401,Lamniformes,Siluriformes,457
1402,Lamniformes,Lepidogalaxiiformes,457
1403,Lamniformes,Esociformes,457
1404,Lamniformes,Salmoniformes,457
1405,Lamniformes,Argentiniformes,457
1406,Lamniformes,Galaxiiformes,457
1407,Lamniformes,Stomiiformes,457
1408,Lamniformes,Osmeriformes,457
1409,Lamniformes,Ateleopodiformes,457
1410,Lamniformes,Aulopiformes,457
1411,Lamniformes,Myctophiformes,457
1412,Lamniformes,Polymixiiformes,457
1413,Lamniformes,Percopsiformes,457
1414,Lamniformes,Zeiformes,457
1415,Lamniformes,Stylephoriformes,457
1416,Lamniformes,Gadiformes,457
1417,Lamniformes,Lampriformes,457
1418,Lamniformes,Trachichthyiformes,457
1419,Lamniformes,Beryciformes,457
1420,Lamniformes,Holocentriformes,457
1421,Lamniformes,Ophidiiformes,457
1422,Lamniformes,Batrachoidiformes,457
1423,Lamniformes,Kurtiformes,457
1424,Lamniformes,Gobiiformes,457
1425,Lamniformes,Scombriformes,457
1426,Lamniformes,Syngnathiformes,457
1427,Lamniformes,Dactylopteriformes,457
1428,Lamniformes,Callionymiformes,457
1429,Lamniformes,Mulliformes,457
1430,Lamniformes,Synbranchiformes,457
1431,Lamniformes,Anabantiformes,457
1432,Lamniformes,Carangaria/misc,457
1433,Lamniformes,Carangiformes,457
1434,Lamniformes,Pleuronectiformes,457
1435,Lamniformes,Mugiliformes,457
1436,Lamniformes,Ovalentaria/misc,457
1437,Lamniformes,Gobiesociformes,457
1438,Lamniformes,Blenniiformes,457
1439,Lamniformes,Cichliformes,457
1440,Lamniformes,Beloniformes,457
1441,Lamniformes,Atheriniformes,457
1442,Lamniformes,Cyprinodontiformes,457
1443,Lamniformes,Perciformes/Percoidei,457
1444,Lamniformes,Perciformes/Zoarcoidei,457
1445,Lamniformes,Perciformes/Bembropoidei,457
1446,Lamniformes,Perciformes/Percophoidei,457
1447,Lamniformes,Perciformes/Notothenioidei,457
1448,Lamniformes,Perciformes/Uranoscopoidei,457
